Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000008791;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;19.12.2001;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;63;;;MitNetz.pdf
E41081010000000000000000000132732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;11.12.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;63;;;MitNetz.pdf
E41081010000000000000000000006447;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;12.11.1993;;;;SN;Leipzig;Mölkau;04316;Malvenweg;16;;;MitNetz.pdf
E41081010000000000000000000007279;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wasser;NS;165;;WAL;;;;08.09.2001;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Mühlenstr.;17;;;MitNetz.pdf
E41081010000000000000000000006456;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;09.05.1994;;;;SN;Leipzig;Engelsdorf;04319;Schneeballweg;6;;;MitNetz.pdf
E41081010000000000000000000006467;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;27.03.1997;;;;SN;Leipzig;Liebertwolkwitz;04288;Güldengossaer Str.;11;;;MitNetz.pdf
E41081010000000000000000000006468;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;27.03.1997;;;;SN;Leipzig;Liebertwolkwitz;04288;Güldengossaer Str.;11;;;MitNetz.pdf
E41081010000000000000000000035061;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Deponiegas;MS;1727;;GAL;;;;26.02.1997;;;;SN;Leipzig;Wiederitzsch;04356;Maximilianallee;80;;;MitNetz.pdf
E41081010000000000000000000006363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Deponiegas;MS;469;;GAL;;;;08.10.1998;;;;SN;Leipzig;Liebertwolkwitz;04288;Ostende;999;;;MitNetz.pdf
E41081010000000000000000000005929;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;1545;;WFL;;;;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;951;;;MitNetz.pdf
E41081010000000000000000000005930;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;1545;;WFL;;;;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;952;;;MitNetz.pdf
E41081010000000000000000000005931;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;1545;;WFL;;;;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;953;;;MitNetz.pdf
E41081010000000000000000000005932;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;1545;;WFL;;;;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;954;;;MitNetz.pdf
E41081010000000000000000000007124;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;15.03.2001;;;;SN;Leipzig;Holzhausen;04288;Feldstr.;10;;;MitNetz.pdf
E41081010000000000000000000008775;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;10.09.2001;;;;SN;Leipzig;Althen-Kleinpösna;04319;Am Wiesenblick;29;;;MitNetz.pdf
E41081010000000000000000000008776;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;10.09.2001;;;;SN;Leipzig;Althen-Kleinpösna;04319;Am Wiesenblick;29;;;MitNetz.pdf
E41081010000000000000000000007877;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;10.09.2001;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Grüner Bogen;5;;;MitNetz.pdf
E41081010000000000000000000008078;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;10.12.2001;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Stahmelner Str.;212;;;MitNetz.pdf
E41081010000000000000000000007788;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;20.12.2001;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Mühlenplatz;1;;;MitNetz.pdf
E41081010000000000000000000013869;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;20.12.2001;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Mühlenplatz;1;;;MitNetz.pdf
E41081010000000000000000000006930;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wasser;NS;82;;WAP;;;;01.02.2007;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Elstermühlweg;1;;;MitNetz.pdf
E41081010000000000000000000009338;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;20.12.2002;;;;SN;Leipzig;Plaußig-Portitz;04349;Am Kellerberg;9;;;MitNetz.pdf
E41081010000000000000000000009339;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;20.12.2002;;;;SN;Leipzig;Plaußig-Portitz;04349;Am Kellerberg;9;;;MitNetz.pdf
E41081010000000000000000000009668;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;20.12.2002;;;;SN;Leipzig;Lindenthal;04158;Gustav-Adolf-Allee;9;;;MitNetz.pdf
E41081010000000000000000000009669;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;20.12.2002;;;;SN;Leipzig;Lindenthal;04158;Gustav-Adolf-Allee;9;;;MitNetz.pdf
E41081010000000000000000000009040;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;11.09.2003;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Gartengrund;3;;;MitNetz.pdf
E41081010000000000000000000009323;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;21.11.2003;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Falkenweg;19;;;MitNetz.pdf
E41081010000000000000000000007983;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Bio;MS/NS;370;;BIL;;;;30.12.2003;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;;MitNetz.pdf
E41081010000000000000000000009928;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;850;;WFL;;;;02.08.2006;;;;SN;Leipzig;Großzschocher;04249;Raiffeisenstr.;999;;;MitNetz.pdf
E41081010000000000000000000009648;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;09.01.2004;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000011197;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;27.08.2004;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000016421;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8;;SOP;;;;18.10.2005;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000124748;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9;;SOP;;;;09.06.2008;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000011971;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;03.11.2004;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000006472;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;04.07.1997;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000157157;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;24.06.2010;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000153784;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9;;SOP;;;;24.06.2010;;;;SN;Leipzig;Baalsdorf;04316;An der Hebemärchte;2;;;MitNetz.pdf
E41081010000000000000000000010382;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;16.04.2004;;;;SN;Leipzig;Engelsdorf;04319;Gartenstr.;4;;;MitNetz.pdf
E41081010000000000000000000010383;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;16.04.2004;;;;SN;Leipzig;Engelsdorf;04319;Gartenstr.;4;;;MitNetz.pdf
E41081010000000000000000000009545;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;14;;SOP;;;;13.05.2004;;;;SN;Leipzig;Engelsdorf;04319;Hans-Weigel-Str.;12;;;MitNetz.pdf
E41081010000000000000000000017639;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;14;;SOP;;;;14.02.2006;;;;SN;Leipzig;Engelsdorf;04319;Hans-Weigel-Str.;12;;;MitNetz.pdf
E41081010000000000000000000033184;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;24.11.2006;;;;SN;Leipzig;Engelsdorf;04319;Hans-Weigel-Str.;12;;;MitNetz.pdf
E41081010000000000000000000011079;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;07.06.2004;;;;SN;Leipzig;Lindenthal;04158;Björneborgstr.;14;;;MitNetz.pdf
E41081010000000000000000000011080;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;07.06.2004;;;;SN;Leipzig;Lindenthal;04158;Björneborgstr.;14;;;MitNetz.pdf
E41081010000000000000000000010800;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;09.08.2004;;;;SN;Leipzig;Liebertwolkwitz;04288;Grenzweg;13;;;MitNetz.pdf
E41081010000000000000000000014079;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;09.08.2004;;;;SN;Leipzig;Liebertwolkwitz;04288;Grenzweg;13;;;MitNetz.pdf
E41081010000000000000000000010743;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;29.09.2004;;;;SN;Leipzig;Wiederitzsch;04158;Hirseweg;4;;;MitNetz.pdf
E41081010000000000000000000010174;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;30.09.2004;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;An den Linden;134;;;MitNetz.pdf
E41081010000000000000000000011709;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;20.12.2004;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;;MitNetz.pdf
E41081010000000000000000000132390;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;08.12.2008;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;;MitNetz.pdf
E41081010000000000000000000162482;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;29.09.2010;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;;MitNetz.pdf
E41081010000000000000000000011791;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;01.02.2005;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Jähnichen-Weg;49;;;MitNetz.pdf
E41081010000000000000000000014190;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;01.02.2005;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Jähnichen-Weg;49;;;MitNetz.pdf
E41081010000000000000000000011383;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;18.03.2005;;;;SN;Leipzig;Wiederitzsch;04158;Lerchengrund;8;;;MitNetz.pdf
E41081010000000000000000000009967;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;850;;WFL;;;;07.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;;MitNetz.pdf
E41081010000000000000000000009968;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;850;;WFL;;;;12.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;;MitNetz.pdf
E41081010000000000000000000009969;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Wind;MS;850;;WFL;;;;13.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;;MitNetz.pdf
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;MitNetz.pdf
E41081010000000000000000000013306;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;17.06.2005;;;;SN;Leipzig;Lindenthal;04158;Björneborgstr.;16;;;MitNetz.pdf
E41081010000000000000000000013307;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;17.06.2005;;;;SN;Leipzig;Lindenthal;04158;Björneborgstr.;16;;;MitNetz.pdf
E41081010000000000000000000015834;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;16.05.2006;;;;SN;Leipzig;Wiederitzsch;04158;Hermann-Keller-Str.;4;;;MitNetz.pdf
E41081010000000000000000000015845;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;16.02.2006;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Jähnichen-Weg;1;;;MitNetz.pdf
E41081010000000000000000000015564;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;02.09.2005;;;;SN;Leipzig;Mölkau;04316;Adolf-Koppe-Str.;20;;;MitNetz.pdf
E41081010000000000000000000156532;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;24.06.2010;;;;SN;Leipzig;Mölkau;04316;Adolf-Koppe-Str.;20;;;MitNetz.pdf
E41081010000000000000000000185611;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;21.12.2011;;;;SN;Leipzig;Mölkau;04316;Adolf-Koppe-Str.;20;;;MitNetz.pdf
E41081010000000000000000000014481;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;22.07.2005;;;;SN;Leipzig;Lindenthal;04158;Äußere Raustr.;20;;;MitNetz.pdf
E41081010000000000000000000014846;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;23.09.2005;;;;SN;Leipzig;Wiederitzsch;04158;Bahnhofstr.;95;;;MitNetz.pdf
E41081010000000000000000000015365;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;10.04.2006;;;;SN;Leipzig;Mölkau;04316;Osthöhe;6;;;MitNetz.pdf
E41081010000000000000000000030249;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;12;;SOP;;;;31.05.2006;;;;SN;Leipzig;Lindenthal;04158;Weststr.;10;;;MitNetz.pdf
E41081010000000000000000000170883;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;150;;SOL;;;;06.07.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Fabrikstr.;19;;;MitNetz.pdf
E41081010000000000000000000181195;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;69;;SOP;;;;28.12.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Fabrikstr.;17;;;MitNetz.pdf
E41081010000000000000000000177736;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;94;;SOP;;;;22.12.2011;;;;SN;Leipzig;Lausen-Grünau;04207;Zschochersche Allee;68;;;MitNetz.pdf
E41081010000000000000000000181469;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;89;;SOP;;;;30.12.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Fraunhoferstr.;3;;;MitNetz.pdf
E41081010000000000000000000173790;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;29;;SOL;;;;29.12.2011;;;;SN;Leipzig;Güterverkehrszentrum;04158;Am Exer;5;;;MitNetz.pdf
E41081010000000000000000000164834;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;58;;SOL;;;;10.02.2011;;;;SN;Leipzig;Seehausen;04356;Bergweg;5;;;MitNetz.pdf
E41081010000000000000000000169412;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;234;;SOL;;;;12.07.2011;;;;SN;Leipzig;Wiederitzsch;04158;Bahnhofstr.;86;;;MitNetz.pdf
E41081010000000000000000000185770;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;59;;SOL;;;;01.08.2011;;;;SN;Leipzig;Wiederitzsch;04158;Bahnhofstr.;86;;;MitNetz.pdf
E41081010000000000000000000166558;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Bio;MS;150;;BIL;;;;01.11.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;200;;;MitNetz.pdf
E41081010000000000000000000027843;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;15.03.2006;;;;SN;Leipzig;Wiederitzsch;04158;Dombrowskistr.;31;;;MitNetz.pdf
E41081010000000000000000000030256;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;75;;SOP;;;;08.06.2006;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;Zum Bahnhof;20;;;MitNetz.pdf
E41081010000000000000000000031254;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;10.07.2006;;;;SN;Leipzig;Mölkau;04316;Engelsdorfer Str.;63;;;MitNetz.pdf
E41081010000000000000000000030173;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;16.05.2006;;;;SN;Leipzig;Mölkau;04316;Am Gutspark;37;;;MitNetz.pdf
E41081010000000000000000000031251;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;10.07.2006;;;;SN;Leipzig;Mölkau;04316;Engelsdorfer Str.;65;;;MitNetz.pdf
E41081010000000000000000000030964;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;28.07.2006;;;;SN;Leipzig;Lausen-Grünau;04207;Zur Heide;48;;;MitNetz.pdf
E41081010000000000000000000030166;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;12.05.2006;;;;SN;Leipzig;Engelsdorf;04319;Gartenstr.;9;;;MitNetz.pdf
E41081010000000000000000000028815;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;23.05.2006;;;;SN;Leipzig;Mölkau;04316;Auguste-Hennig-Str.;9;;;MitNetz.pdf
E41081010000000000000000000029887;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;08.06.2006;;;;SN;Leipzig;Wiederitzsch;04158;Zum Feld;2;;;MitNetz.pdf
E41081010000000000000000000030229;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;12;;SOP;;;;31.05.2006;;;;SN;Leipzig;Lindenthal;04158;Weststr.;6;;;MitNetz.pdf
E41081010000000000000000000030252;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;14;;SOP;;;;31.05.2006;;;;SN;Leipzig;Lindenthal;04158;Weststr.;12;;;MitNetz.pdf
E41081010000000000000000000030225;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;31.05.2006;;;;SN;Leipzig;Liebertwolkwitz;04288;Im Birkengrund;5;;;MitNetz.pdf
E41081010000000000000000000119967;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;28.11.2007;;;;SN;Leipzig;Liebertwolkwitz;04288;Im Birkengrund;5;;;MitNetz.pdf
E41081010000000000000000000196331;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;12.09.2012;;;;SN;Leipzig;Liebertwolkwitz;04288;Im Birkengrund;5;;;MitNetz.pdf
E41081010000000000000000000029439;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;22.06.2006;;;;SN;Leipzig;Lindenthal;04158;Dennewitzer Str.;39;;;MitNetz.pdf
E41081010000000000000000000033061;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;23.11.2006;;;;SN;Leipzig;Lindenthal;04158;Dennewitzer Str.;39;;;MitNetz.pdf
E41081010000000000000000000030658;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;08.06.2006;;;;SN;Leipzig;Mölkau;04316;Lessingweg;24;;;MitNetz.pdf
E41081010000000000000000000030178;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;10.07.2006;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;22;;;MitNetz.pdf
E41081010000000000000000000030555;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;19.07.2006;;;;SN;Leipzig;Mölkau;04316;Karlstr.;4;;;MitNetz.pdf
E41081010000000000000000000030587;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;21.08.2006;;;;SN;Leipzig;Liebertwolkwitz;04288;Störmthaler Str.;28;;;MitNetz.pdf
E41081010000000000000000000030743;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;30.08.2006;;;;SN;Leipzig;Baalsdorf;04316;Gottfried-Jähnichen-Weg;1;;;MitNetz.pdf
E41081010000000000000000000031319;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;08.09.2006;;;;SN;Leipzig;Seehausen;04356;Dohlenweg;14;;;MitNetz.pdf
E41081010000000000000000000031588;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;27.12.2006;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Hallesche Str.;222;;;MitNetz.pdf
E41081010000000000000000000031750;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;06.12.2006;;;;SN;Leipzig;Mölkau;04316;Zweinaundorfer Str.;248;;;MitNetz.pdf
E41081010000000000000000000033185;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;11.12.2006;;;;SN;Leipzig;Mölkau;04316;Zweinaundorfer Str.;137;;;MitNetz.pdf
E41081010000000000000000000033464;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1;;SOP;;;;15.01.2007;;;;SN;Leipzig;Wiederitzsch;04158;Mohnweg;14;;;MitNetz.pdf
E41081010000000000000000000034240;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;01.02.2007;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;73;;;MitNetz.pdf
E41081010000000000000000000126794;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;02.06.2008;;;;SN;Leipzig;Althen-Kleinpösna;04319;Dorfstr.;73;;;MitNetz.pdf
E41081010000000000000000000034475;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;8;;SOP;;;;27.03.2007;;;;SN;Leipzig;Holzhausen;04288;Richard-Springer-Weg;31;;;MitNetz.pdf
E41081010000000000000000000034606;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;13.04.2007;;;;SN;Leipzig;Lützschena-Stahmeln;04159;Stahmelner Anger;1;;;MitNetz.pdf
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;MitNetz.pdf
E41081010000000000000000000181568;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;18.11.2011;;;;SN;Leipzig;Mölkau;04316;Karl-Friedrich-Str.;12;;;MitNetz.pdf
E41081010000000000000000000150283;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;30.03.2010;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;An der Burgaue;26;;;MitNetz.pdf
E41081010000000000000000000198034;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;30.08.2012;;;;SN;Leipzig;Mölkau;04316;Germannstr.;27;;;MitNetz.pdf
E41081010000000000000000000157418;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;3;;SOP;;;;15.06.2010;;;;SN;Leipzig;Wiederitzsch;04158;Melissenweg;7;;;MitNetz.pdf
E41081010000000000000000000196508;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;4;;SOP;;;;31.07.2012;;;;SN;Leipzig;Liebertwolkwitz;04288;Walter-Rathenau-Str.;15;;;MitNetz.pdf
E41081010000000000000000000166247;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;26;;SOP;;;;22.12.2010;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Am Markt;10;;;MitNetz.pdf
E41081010000000000000000000170543;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5;;SOP;;;;04.05.2011;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Hickmannstr.;2;;;MitNetz.pdf
